zone,cluster_id
Behala,0
Dwarka,0
Electronic City,0
Gachibowli,0
Hitech City,0
Janakpuri,0
Mulund,0
Porur,0
Powai,0
Tollygunge,0
Velachery,0
Whitefield,0
Adajan,1
Baner,1
Hinjewadi,1
Jagatpura,1
Malviya Nagar,1
Pal,1
Prahlad Nagar,1
Satellite,1
Vesu,1
Bandra,2
Jubilee Hills,2
Karol Bagh,2
Park Street,2
Salt Lake,2
T Nagar,2
Yelahanka,2
Andheri,3
Anna Nagar,3
Banjara Hills,3
Connaught Place,3
Indiranagar,3
Koramangala,3
Saidapet,3
CG Road,4
Deccan,4
Hadapsar,4
Katargam,4
Mansarovar,4
Naroda,4
Navrangpura,4
Sanganer,4
Shivajinagar,4
Sitapura,4
Udhna,4
Vaishali Nagar,4
Vatva,4
Wagholi,4
Adyar,5
Dharavi,5
Dunlop,5
Hebbal,5
Kurla,5
LB Nagar,5
Laxmi Nagar,5
Shahdara,5
Shyambazar,5
Uppal,5
Wadala,5
