date,time_ist,city,area,latitude,longitude,temp_c,rain_1h_mm,wind_kmh,visibility_m,aqi,dominant_pol,HRA,MRA,LRA,STM,WND,FOG,HTV,EQK,SAQ,MAQ,FLD,CRF,LDS,PND,WAR
2026-04-14,18:24:08 IST,Ahmedabad,Bopal,23.0333,72.4667,38.0,0,22.2,5000,98,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Chandkheda,23.1077,72.5801,38.0,0,22.2,5000,90,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Gota,23.0853,72.5358,38.0,0,22.2,5000,90,pm10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Isanpur,22.9818,72.5935,38.1,0,22.2,5000,99,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Maninagar,22.9944,72.6025,38.0,0,22.2,5000,99,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Navrangpura,23.0366,72.5489,38.0,0,22.2,5000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Prahladnagar,23.012,72.5106,38.0,0,22.2,5000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Satellite,23.0276,72.522,38.0,0,22.2,5000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Thaltej,23.05,72.5167,38.0,0,22.2,5000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Ahmedabad,Vastrapur,23.035,72.5293,38.0,0,22.2,5000,101,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Bengaluru,Banashankari,12.9152,77.5736,33.1,0,16.7,8000,121,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Bengaluru,Electronic City,12.8399,77.677,32.8,0,16.7,8000,116,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Bengaluru,HSR Layout,12.9121,77.6446,33.0,0,16.7,8000,116,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-14,18:24:08 IST,Bengaluru,Indiranagar,12.9784,77.6408,33.3,0,32.2,8000,70,pm25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
